id|signal|advertisements|withdraws|total_messages|counter
8929727074016535994|A1A2A3|3|0|3|8
56481034657450851|A2A9A3|3|0|3|133
-4100215588841826970|A1A2A3A11A3|5|0|5|2
-219245801214110363|A2A9A15A16A11A15A3|7|0|7|1
7597647990365543283|A2A9A15A3|4|0|4|22
6952496487713041893|A1A2A9A3|4|0|4|11
7259774016898961297|A2A3|2|0|2|35
-191916107458024685|A2A3A15A2A9A3|6|0|6|3
6080258780616218986|A2A9A15A16A2A3|6|0|6|2
-4578012239260288368|A2A3A15A20A21A9A3|7|0|7|1
3773885235786981663|A2A9A3A16A2A3|6|0|6|3
659905223416123715|A2A9A15A16A3|5|0|5|1
4026282508081084340|A9A3A2A9A3|5|0|5|1
63867648887344945|A9A2A3A2A3|5|0|5|4
8163385551015326018|A2A9A3A2A3|5|0|5|7
7255518598338616809|A9A3A16A3|4|0|4|5
-808218476956515424|A9A2A3A16A3|5|0|5|5
1816572045662349756|A9A3|2|0|2|7
-7498986565569461351|A9A2A3|3|0|3|12
2326030992645390435|A2A9A3A16A21A3|6|0|6|2
853687343186296630|A2A9A3A2A9A3|6|0|6|2
856728497695502233|A2A9A2A9A3|5|0|5|11
3583480784639446370|A2A9A15A22A21A3|6|0|6|1
5893065453345270186|A2A9A15A23A20A3|6|0|6|1
2356110734913191157|A2A9A2A3|4|0|4|1
4303338337679342758|A24A3A2A3|4|0|4|2
-9170840443420369601|A2A9A23A15A3|5|0|5|2
-3122069490138288695|A24A3A16A3|4|0|4|1
-7957635845517849333|A24A3|2|0|2|7
1924129899800524426|A24A3A16A11A3|5|0|5|2
-2704331616825318371|A2A9A3W3A27A3|5|1|6|1
22761545456205952|A24A3A16A20A11A2A3|7|0|7|1
3054895332770227497|A2A9A15A2A9A3|6|0|6|1
-9008769170033354180|A2A3A15A11A3|5|0|5|2
-7294957772141206860|A24A3A1A27A3|5|0|5|2
-1096964435680242964|A2A9A3A11A3|5|0|5|6
-5341036170649438264|A2A3A22A16A3|5|0|5|2
-9049462421364667697|A24A3A23A3|4|0|4|2
-3507390347330186098|A2A9A3A23A3|5|0|5|3
7820824386033069531|A2A3A22A24A2A3|6|0|6|1
-5776055595584311933|A24A3A15A2A9A3|6|0|6|1
3259442155907953330|A2A9A3A11W11A2A3|6|1|7|2
766404224678613284|A9A2A3W3A24A3|5|1|6|3
8389747695415393554|A2A9A3W3A24A3|5|1|6|2
416374874697514897|A2A9A3A23A15A3|6|0|6|4
7283373825088412342|A2A9A3W3A24A9A3|6|1|7|1
-1175607458659236224|A2A9A3A23A11A2A3|7|0|7|1
3787677123458356446|A3|1|0|1|16
-5462817527222950573|A2A9A3A16A3|5|0|5|29
7852009939264346226|A3A15A20A3|4|0|4|4
-1571653855795130418|A2A9A15A20A11A3|6|0|6|2
-4624783359478023728|A2A3A16A3|4|0|4|6
5158323750976893428|A2A9A3A22A15A3|6|0|6|2
1629126202324546784|A2A3A16A2A9A3|6|0|6|1
-8092271041934258542|A3A15A20A1A2A3|6|0|6|1
-915848684460345824|A2A9A3A11A2A3|6|0|6|1
-7433473377489684338|A2A9A3A22A23A3|6|0|6|2
6628970046539054472|A1A2A3A15A20A3|6|0|6|2
-3717420653000826518|A2A9A3A22W22A3|5|1|6|3
1345626649004679564|A2A9A3A16A11A3|6|0|6|6
-648524004325828583|A1A2A3A20W20A15A3|6|1|7|1
154284298770685638|A2A3A2A3|4|0|4|3
5130234603627942830|A2A3A16A11A3|5|0|5|1
-3131175450764862729|A2A9A3W3A16A3|5|1|6|2
-4680297251440044119|A2A9A3A20A23A3|6|0|6|2
-1807869533463692351|A2A9A3A16A22A3|6|0|6|2
6029328442399379929|A2A3A15A16A3|5|0|5|5
528240522865345280|A2A3A9A2A3|5|0|5|2
8820326287110502843|A2A9A15W15A3|4|1|5|1
-4995117099241338359|A2A3W3A3|3|1|4|1
8524941836051056712|A2A9A15A16A11A3|6|0|6|1
7836734910257146585|A2A9A16A2A3|5|0|5|2
-7930132022489558291|A2A3A15A16W16A2A3|6|1|7|1
4865811484302593007|A2A9A16W16A2A3|5|1|6|1
6229607460588002953|A2A9A3A16A21A15A3|7|0|7|1
-6359768262390642929|A2A9A15A22A3|5|0|5|1
8685045341837584362|A2A3A15A22A3|5|0|5|4
-6192835190673443966|A3A15A3|3|0|3|2
6272503311288475616|A2A9A3A23A20A3|6|0|6|2
7283601801413164227|A3A2A9A24A3|5|0|5|3
-1443300737190542529|A2A9A3A23A28A3|6|0|6|1
6557502623023823017|A2A3A15A3|4|0|4|2
8513048070084475290|A2A9A15A20A27A2A3|7|0|7|1
-5844571614076135148|A2A9A16A20A2A3|6|0|6|1
1852466325300437714|A24A3A2A9A3|5|0|5|3
8490055826993993208|A2A24A2A9A3|5|0|5|3
5026866787860314133|A2A9A24A29A2A9A3|7|0|7|3
6043003512988884500|A24A2A9A3|4|0|4|7
124150837498848300|A2A3A16A20A11A3|6|0|6|2
4666232066399251122|A2A9A15A20A3|5|0|5|4
-2249413109672188917|A2A3A15A16A11A3|6|0|6|1
4611423701229660030|A2A9A15A20A2A9A3|7|0|7|1
-5434935732271523101|A2A9A3A16A24A3|6|0|6|2
-7090634182717426856|A1A2A3W3A3|4|1|5|3
4111839337336039795|A2A9A15A22A15A3|6|0|6|1
-2443428009290208196|A24A2A9A3A2A3|6|0|6|1
8211107546597330501|A16A3A2A9A3|5|0|5|1
2235731163026174673|A2A9A3A11A23A3|6|0|6|2
-3778466098715757808|A16A3A24A28A16A3|6|0|6|1
-4207241021081397013|A24A2A3|3|0|3|5
7490617897430031426|A16A3|2|0|2|3
7425874936213813811|A16A3A15A3|4|0|4|2
6494216707559577235|A2A9A3A23A9A2A3|7|0|7|1
4630883481108353664|A24A2A3A11A2A3|6|0|6|1
-7203487702398884034|A16A3A16W16A15A3|5|1|6|1
-823408056699091459|A24A2A9A15A3|5|0|5|1
-1105232053431426632|A16A3A24A3|4|0|4|1
4166860856460324469|A2A9A16A3|4|0|4|9
5203094165421080309|A9A2A3W3A3|4|1|5|3
2184164043291068161|A2A9A3A23W23A3|5|1|6|3
3017247808192412373|A2A3A24A3|4|0|4|2
-5056570283996448455|A2A3A2A9A3|5|0|5|2
1695248436030537934|A2A9A3A11W11A3|5|1|6|2
-4168492483567502428|A2A9A23A22A16A3|6|0|6|3
4964200580547107581|A2A9A15A20A1A3|6|0|6|2
-166717037537020483|A2A9A15A20A1A2A3|7|0|7|1
3056867481434262809|A9A3A15A16A3|5|0|5|2
5738430441161569903|A3A15A20A11A3|5|0|5|2
2374784521140454861|A3A15A16A11A2A3|6|0|6|4
9114899882624052335|A9A3A15A16W16A3|5|1|6|3
6489858428541359|A3A15A11A2A9A3|6|0|6|2
2967787646773877348|A3A15A16A2A3|5|0|5|1
-4763588583327123231|A3A15A16A11A2A9A3|7|0|7|1
